/(Epi Dt),Confirmed + Probable Title,County Parameter Cum Curve,运行 Confirm + Probable cases 的 总和,Confirmed cases (running sum),Probable cases (running sum),Window Max Cum Cases
2020/7/23/,confirmed and probable,Waukesha County,3754,3337,417,27462
2020/7/24/,confirmed and probable,Waukesha County,3848,3422,426,27462
2020/7/25/,confirmed and probable,Waukesha County,3931,3503,428,27462
2020/7/26/,confirmed and probable,Waukesha County,4003,3574,429,27462
2020/7/27/,confirmed and probable,Waukesha County,4114,3680,434,27462
2020/7/28/,confirmed and probable,Waukesha County,4220,3782,438,27462
2020/7/29/,confirmed and probable,Waukesha County,4292,3850,442,27462
2020/7/30/,confirmed and probable,Waukesha County,4356,3914,442,27462
2020/7/31/,confirmed and probable,Waukesha County,4421,3978,443,27462
2020/8/1/,confirmed and probable,Waukesha County,4485,4042,443,27462
2020/8/2/,confirmed and probable,Waukesha County,4542,4095,447,27462
2020/8/3/,confirmed and probable,Waukesha County,4650,4198,452,27462
2020/8/4/,confirmed and probable,Waukesha County,4755,4298,457,27462
2020/8/5/,confirmed and probable,Waukesha County,4879,4415,464,27462
2020/8/6/,confirmed and probable,Waukesha County,4956,4483,473,27462
2020/8/7/,confirmed and probable,Waukesha County,5048,4567,481,27462
2020/8/8/,confirmed and probable,Waukesha County,5114,4629,485,27462
2020/8/9/,confirmed and probable,Waukesha County,5195,4707,488,27462
2020/8/10/,confirmed and probable,Waukesha County,5283,4789,494,27462
2020/8/11/,confirmed and probable,Waukesha County,5368,4870,498,27462
2020/8/12/,confirmed and probable,Waukesha County,5454,4950,504,27462
2020/8/13/,confirmed and probable,Waukesha County,5524,5018,506,27462
2020/8/14/,confirmed and probable,Waukesha County,5580,5069,511,27462
2020/8/15/,confirmed and probable,Waukesha County,5638,5124,514,27462
2020/8/16/,confirmed and probable,Waukesha County,5696,5180,516,27462
2020/8/17/,confirmed and probable,Waukesha County,5759,5237,522,27462
2020/8/18/,confirmed and probable,Waukesha County,5815,5290,525,27462
2020/8/19/,confirmed and probable,Waukesha County,5869,5341,528,27462
2020/8/20/,confirmed and probable,Waukesha County,5912,5383,529,27462
2020/8/21/,confirmed and probable,Waukesha County,5972,5441,531,27462
2020/8/22/,confirmed and probable,Waukesha County,6001,5468,533,27462
2020/8/23/,confirmed and probable,Waukesha County,6035,5501,534,27462
2020/8/24/,confirmed and probable,Waukesha County,6089,5555,534,27462
2020/8/25/,confirmed and probable,Waukesha County,6145,5607,538,27462
2020/8/26/,confirmed and probable,Waukesha County,6186,5648,538,27462
2020/8/27/,confirmed and probable,Waukesha County,6222,5682,540,27462
2020/8/28/,confirmed and probable,Waukesha County,6257,5713,544,27462
2020/8/29/,confirmed and probable,Waukesha County,6292,5745,547,27462
2020/8/30/,confirmed and probable,Waukesha County,6326,5777,549,27462
2020/8/31/,confirmed and probable,Waukesha County,6363,5814,549,27462
2020/9/1/,confirmed and probable,Waukesha County,6416,5864,552,27462
2020/9/2/,confirmed and probable,Waukesha County,6445,5892,553,27462
2020/9/3/,confirmed and probable,Waukesha County,6485,5928,557,27462
2020/9/4/,confirmed and probable,Waukesha County,6529,5970,559,27462
2020/9/5/,confirmed and probable,Waukesha County,6566,6005,561,27462
2020/9/6/,confirmed and probable,Waukesha County,6598,6037,561,27462
2020/9/7/,confirmed and probable,Waukesha County,6648,6084,564,27462
2020/9/8/,confirmed and probable,Waukesha County,6729,6160,569,27462
2020/9/9/,confirmed and probable,Waukesha County,6806,6228,578,27462
2020/9/10/,confirmed and probable,Waukesha County,6869,6279,590,27462
2020/9/11/,confirmed and probable,Waukesha County,6943,6348,595,27462
2020/9/12/,confirmed and probable,Waukesha County,7016,6417,599,27462
2020/9/13/,confirmed and probable,Waukesha County,7068,6468,600,27462
2020/9/14/,confirmed and probable,Waukesha County,7170,6563,607,27462
2020/9/15/,confirmed and probable,Waukesha County,7265,6651,614,27462
2020/9/16/,confirmed and probable,Waukesha County,7387,6766,621,27462
2020/9/17/,confirmed and probable,Waukesha County,7485,6856,629,27462
2020/9/18/,confirmed and probable,Waukesha County,7585,6953,632,27462
2020/9/19/,confirmed and probable,Waukesha County,7665,7032,633,27462
2020/9/20/,confirmed and probable,Waukesha County,7760,7123,637,27462
2020/9/21/,confirmed and probable,Waukesha County,7903,7259,644,27462
2020/9/22/,confirmed and probable,Waukesha County,8064,7415,649,27462
2020/9/23/,confirmed and probable,Waukesha County,8208,7549,659,27462
2020/9/24/,confirmed and probable,Waukesha County,8329,7663,666,27462
2020/9/25/,confirmed and probable,Waukesha County,8464,7785,679,27462
2020/9/26/,confirmed and probable,Waukesha County,8575,7892,683,27462
2020/9/27/,confirmed and probable,Waukesha County,8675,7984,691,27462
2020/9/28/,confirmed and probable,Waukesha County,8838,8132,706,27462
2020/9/29/,confirmed and probable,Waukesha County,8957,8246,711,27462
2020/9/30/,confirmed and probable,Waukesha County,9089,8367,722,27462
2020/10/1/,confirmed and probable,Waukesha County,9220,8492,728,27462
2020/10/2/,confirmed and probable,Waukesha County,9373,8633,740,27462
2020/10/3/,confirmed and probable,Waukesha County,9482,8737,745,27462
2020/10/4/,confirmed and probable,Waukesha County,9603,8854,749,27462
2020/10/5/,confirmed and probable,Waukesha County,9804,9044,760,27462
2020/10/6/,confirmed and probable,Waukesha County,10038,9265,773,27462
2020/10/7/,confirmed and probable,Waukesha County,10228,9446,782,27462
2020/10/8/,confirmed and probable,Waukesha County,10427,9633,794,27462
2020/10/9/,confirmed and probable,Waukesha County,10640,9839,801,27462
