/(Epi Dt),Confirmed + Probable Title,County Parameter Cum Curve,运行 Confirm + Probable cases 的 总和,Confirmed cases (running sum),Probable cases (running sum),Window Max Cum Cases
2020/9/15/,confirmed and probable,Brown County,7767,7601,166,22931
2020/9/16/,confirmed and probable,Brown County,7969,7802,167,22931
2020/9/17/,confirmed and probable,Brown County,8179,8012,167,22931
2020/9/18/,confirmed and probable,Brown County,8383,8212,171,22931
2020/9/19/,confirmed and probable,Brown County,8495,8323,172,22931
2020/9/20/,confirmed and probable,Brown County,8612,8440,172,22931
2020/9/21/,confirmed and probable,Brown County,8834,8661,173,22931
2020/9/22/,confirmed and probable,Brown County,9116,8941,175,22931
2020/9/23/,confirmed and probable,Brown County,9419,9239,180,22931
2020/9/24/,confirmed and probable,Brown County,9703,9519,184,22931
2020/9/25/,confirmed and probable,Brown County,9957,9772,185,22931
2020/9/26/,confirmed and probable,Brown County,10125,9940,185,22931
2020/9/27/,confirmed and probable,Brown County,10308,10121,187,22931
2020/9/28/,confirmed and probable,Brown County,10655,10466,189,22931
2020/9/29/,confirmed and probable,Brown County,10970,10780,190,22931
2020/9/30/,confirmed and probable,Brown County,11239,11048,191,22931
2020/10/1/,confirmed and probable,Brown County,11523,11328,195,22931
2020/10/2/,confirmed and probable,Brown County,11770,11571,199,22931
2020/10/3/,confirmed and probable,Brown County,11925,11723,202,22931
2020/10/4/,confirmed and probable,Brown County,12117,11911,206,22931
2020/10/5/,confirmed and probable,Brown County,12479,12269,210,22931
2020/10/6/,confirmed and probable,Brown County,12777,12560,217,22931
2020/10/7/,confirmed and probable,Brown County,13128,12900,228,22931
2020/10/8/,confirmed and probable,Brown County,13397,13164,233,22931
2020/10/9/,confirmed and probable,Brown County,13668,13426,242,22931
2020/10/10/,confirmed and probable,Brown County,13854,13609,245,22931
2020/10/11/,confirmed and probable,Brown County,14013,13765,248,22931
2020/10/12/,confirmed and probable,Brown County,14298,14044,254,22931
2020/10/13/,confirmed and probable,Brown County,14579,14318,261,22931
2020/10/14/,confirmed and probable,Brown County,14864,14594,270,22931
2020/10/15/,confirmed and probable,Brown County,15091,14817,274,22931
2020/10/16/,confirmed and probable,Brown County,15285,15003,282,22931
2020/10/17/,confirmed and probable,Brown County,15413,15125,288,22931
2020/10/18/,confirmed and probable,Brown County,15568,15273,295,22931
2020/10/19/,confirmed and probable,Brown County,15843,15534,309,22931
2020/10/20/,confirmed and probable,Brown County,16083,15762,321,22931
2020/10/21/,confirmed and probable,Brown County,16444,16114,330,22931
2020/10/22/,confirmed and probable,Brown County,16672,16334,338,22931
2020/10/23/,confirmed and probable,Brown County,16872,16529,343,22931
2020/10/24/,confirmed and probable,Brown County,17028,16682,346,22931
2020/10/25/,confirmed and probable,Brown County,17169,16814,355,22931
2020/10/26/,confirmed and probable,Brown County,17508,17140,368,22931
2020/10/27/,confirmed and probable,Brown County,17732,17358,374,22931
2020/10/28/,confirmed and probable,Brown County,17967,17583,384,22931
2020/10/29/,confirmed and probable,Brown County,18181,17785,396,22931
2020/10/30/,confirmed and probable,Brown County,18403,17997,406,22931
2020/10/31/,confirmed and probable,Brown County,18560,18150,410,22931
2020/11/1/,confirmed and probable,Brown County,18762,18346,416,22931
2020/11/2/,confirmed and probable,Brown County,19093,18668,425,22931
2020/11/3/,confirmed and probable,Brown County,19400,18967,433,22931
2020/11/4/,confirmed and probable,Brown County,19699,19253,446,22931
2020/11/5/,confirmed and probable,Brown County,19939,19486,453,22931
2020/11/6/,confirmed and probable,Brown County,20192,19736,456,22931
2020/11/7/,confirmed and probable,Brown County,20356,19896,460,22931
2020/11/8/,confirmed and probable,Brown County,20522,20057,465,22931
2020/11/9/,confirmed and probable,Brown County,20814,20347,467,22931
2020/11/10/,confirmed and probable,Brown County,21060,20584,476,22931
2020/11/11/,confirmed and probable,Brown County,21275,20771,504,22931
2020/11/12/,confirmed and probable,Brown County,21488,20950,538,22931
2020/11/13/,confirmed and probable,Brown County,21723,21157,566,22931
2020/11/14/,confirmed and probable,Brown County,21854,21284,570,22931
2020/11/15/,confirmed and probable,Brown County,22003,21422,581,22931
2020/11/16/,confirmed and probable,Brown County,22254,21643,611,22931
2020/11/17/,confirmed and probable,Brown County,22429,21785,644,22931
2020/11/18/,confirmed and probable,Brown County,22546,21894,652,22931
2020/11/19/,confirmed and probable,Brown County,22631,21974,657,22931
2020/11/20/,confirmed and probable,Brown County,22737,22074,663,22931
2020/11/21/,confirmed and probable,Brown County,22777,22110,667,22931
2020/11/22/,confirmed and probable,Brown County,22809,22142,667,22931
2020/11/23/,confirmed and probable,Brown County,22870,22198,672,22931
2020/11/24/,confirmed and probable,Brown County,22927,22254,673,22931
2020/11/25/,confirmed and probable,Brown County,22931,22258,673,22931
