/(Epi Dt),Confirmed + Probable Title,County Parameter Cum Curve,运行 Confirm + Probable cases 的 总和,Confirmed cases (running sum),Probable cases (running sum),Window Max Cum Cases
2020/6/8/,confirmed and probable,Milwaukee County,11311,10631,680,70179
2020/6/9/,confirmed and probable,Milwaukee County,11488,10788,700,70179
2020/6/10/,confirmed and probable,Milwaukee County,11644,10929,715,70179
2020/6/11/,confirmed and probable,Milwaukee County,11753,11023,730,70179
2020/6/12/,confirmed and probable,Milwaukee County,11891,11151,740,70179
2020/6/13/,confirmed and probable,Milwaukee County,11988,11244,744,70179
2020/6/14/,confirmed and probable,Milwaukee County,12058,11307,751,70179
2020/6/15/,confirmed and probable,Milwaukee County,12292,11522,770,70179
2020/6/16/,confirmed and probable,Milwaukee County,12435,11650,785,70179
2020/6/17/,confirmed and probable,Milwaukee County,12609,11799,810,70179
2020/6/18/,confirmed and probable,Milwaukee County,12767,11943,824,70179
2020/6/19/,confirmed and probable,Milwaukee County,12897,12060,837,70179
2020/6/20/,confirmed and probable,Milwaukee County,12998,12151,847,70179
2020/6/21/,confirmed and probable,Milwaukee County,13100,12248,852,70179
2020/6/22/,confirmed and probable,Milwaukee County,13300,12432,868,70179
2020/6/23/,confirmed and probable,Milwaukee County,13472,12594,878,70179
2020/6/24/,confirmed and probable,Milwaukee County,13635,12740,895,70179
2020/6/25/,confirmed and probable,Milwaukee County,13818,12901,917,70179
2020/6/26/,confirmed and probable,Milwaukee County,14004,13077,927,70179
2020/6/27/,confirmed and probable,Milwaukee County,14113,13181,932,70179
2020/6/28/,confirmed and probable,Milwaukee County,14241,13307,934,70179
2020/6/29/,confirmed and probable,Milwaukee County,14483,13541,942,70179
2020/6/30/,confirmed and probable,Milwaukee County,14726,13773,953,70179
2020/7/1/,confirmed and probable,Milwaukee County,15067,14089,978,70179
2020/7/2/,confirmed and probable,Milwaukee County,15314,14322,992,70179
2020/7/3/,confirmed and probable,Milwaukee County,15515,14517,998,70179
2020/7/4/,confirmed and probable,Milwaukee County,15649,14646,1003,70179
2020/7/5/,confirmed and probable,Milwaukee County,15871,14865,1006,70179
2020/7/6/,confirmed and probable,Milwaukee County,16248,15224,1024,70179
2020/7/7/,confirmed and probable,Milwaukee County,16588,15560,1028,70179
2020/7/8/,confirmed and probable,Milwaukee County,16986,15942,1044,70179
2020/7/9/,confirmed and probable,Milwaukee County,17338,16284,1054,70179
2020/7/10/,confirmed and probable,Milwaukee County,17636,16566,1070,70179
2020/7/11/,confirmed and probable,Milwaukee County,17819,16745,1074,70179
2020/7/12/,confirmed and probable,Milwaukee County,17993,16913,1080,70179
2020/7/13/,confirmed and probable,Milwaukee County,18365,17273,1092,70179
2020/7/14/,confirmed and probable,Milwaukee County,18709,17602,1107,70179
2020/7/15/,confirmed and probable,Milwaukee County,19056,17933,1123,70179
2020/7/16/,confirmed and probable,Milwaukee County,19359,18223,1136,70179
2020/7/17/,confirmed and probable,Milwaukee County,19639,18480,1159,70179
2020/7/18/,confirmed and probable,Milwaukee County,19836,18671,1165,70179
2020/7/19/,confirmed and probable,Milwaukee County,19996,18825,1171,70179
2020/7/20/,confirmed and probable,Milwaukee County,20331,19139,1192,70179
2020/7/21/,confirmed and probable,Milwaukee County,20648,19438,1210,70179
2020/7/22/,confirmed and probable,Milwaukee County,20910,19687,1223,70179
2020/7/23/,confirmed and probable,Milwaukee County,21153,19924,1229,70179
2020/7/24/,confirmed and probable,Milwaukee County,21375,20132,1243,70179
2020/7/25/,confirmed and probable,Milwaukee County,21542,20293,1249,70179
2020/7/26/,confirmed and probable,Milwaukee County,21660,20405,1255,70179
2020/7/27/,confirmed and probable,Milwaukee County,21921,20656,1265,70179
2020/7/28/,confirmed and probable,Milwaukee County,22163,20886,1277,70179
2020/7/29/,confirmed and probable,Milwaukee County,22356,21068,1288,70179
2020/7/30/,confirmed and probable,Milwaukee County,22547,21252,1295,70179
2020/7/31/,confirmed and probable,Milwaukee County,22704,21402,1302,70179
2020/8/1/,confirmed and probable,Milwaukee County,22848,21538,1310,70179
2020/8/2/,confirmed and probable,Milwaukee County,22946,21632,1314,70179
2020/8/3/,confirmed and probable,Milwaukee County,23151,21832,1319,70179
2020/8/4/,confirmed and probable,Milwaukee County,23357,22028,1329,70179
2020/8/5/,confirmed and probable,Milwaukee County,23570,22228,1342,70179
2020/8/6/,confirmed and probable,Milwaukee County,23752,22402,1350,70179
2020/8/7/,confirmed and probable,Milwaukee County,23923,22566,1357,70179
2020/8/8/,confirmed and probable,Milwaukee County,24043,22684,1359,70179
2020/8/9/,confirmed and probable,Milwaukee County,24152,22792,1360,70179
2020/8/10/,confirmed and probable,Milwaukee County,24325,22954,1371,70179
2020/8/11/,confirmed and probable,Milwaukee County,24506,23127,1379,70179
2020/8/12/,confirmed and probable,Milwaukee County,24670,23279,1391,70179
2020/8/13/,confirmed and probable,Milwaukee County,24802,23404,1398,70179
2020/8/14/,confirmed and probable,Milwaukee County,24928,23524,1404,70179
2020/8/15/,confirmed and probable,Milwaukee County,25028,23623,1405,70179
2020/8/16/,confirmed and probable,Milwaukee County,25119,23708,1411,70179
2020/8/17/,confirmed and probable,Milwaukee County,25289,23866,1423,70179
2020/8/18/,confirmed and probable,Milwaukee County,25422,23992,1430,70179
2020/8/19/,confirmed and probable,Milwaukee County,25570,24128,1442,70179
2020/8/20/,confirmed and probable,Milwaukee County,25688,24237,1451,70179
2020/8/21/,confirmed and probable,Milwaukee County,25805,24343,1462,70179
2020/8/22/,confirmed and probable,Milwaukee County,25864,24399,1465,70179
2020/8/23/,confirmed and probable,Milwaukee County,25930,24464,1466,70179
2020/8/24/,confirmed and probable,Milwaukee County,26065,24592,1473,70179
2020/8/25/,confirmed and probable,Milwaukee County,26176,24697,1479,70179
2020/8/26/,confirmed and probable,Milwaukee County,26278,24790,1488,70179
2020/8/27/,confirmed and probable,Milwaukee County,26380,24884,1496,70179
2020/8/28/,confirmed and probable,Milwaukee County,26462,24960,1502,70179
2020/8/29/,confirmed and probable,Milwaukee County,26547,25041,1506,70179
2020/8/30/,confirmed and probable,Milwaukee County,26618,25107,1511,70179
2020/8/31/,confirmed and probable,Milwaukee County,26747,25233,1514,70179
2020/9/1/,confirmed and probable,Milwaukee County,26852,25331,1521,70179
2020/9/2/,confirmed and probable,Milwaukee County,26968,25430,1538,70179
2020/9/3/,confirmed and probable,Milwaukee County,27074,25528,1546,70179
2020/9/4/,confirmed and probable,Milwaukee County,27182,25626,1556,70179
2020/9/5/,confirmed and probable,Milwaukee County,27252,25693,1559,70179
2020/9/6/,confirmed and probable,Milwaukee County,27330,25759,1571,70179
2020/9/7/,confirmed and probable,Milwaukee County,27434,25860,1574,70179
2020/9/8/,confirmed and probable,Milwaukee County,27606,26014,1592,70179
2020/9/9/,confirmed and probable,Milwaukee County,27753,26146,1607,70179
2020/9/10/,confirmed and probable,Milwaukee County,27895,26276,1619,70179
2020/9/11/,confirmed and probable,Milwaukee County,28050,26404,1646,70179
2020/9/12/,confirmed and probable,Milwaukee County,28169,26514,1655,70179
2020/9/13/,confirmed and probable,Milwaukee County,28269,26611,1658,70179
2020/9/14/,confirmed and probable,Milwaukee County,28474,26794,1680,70179
2020/9/15/,confirmed and probable,Milwaukee County,28678,26983,1695,70179
2020/9/16/,confirmed and probable,Milwaukee County,28929,27211,1718,70179
2020/9/17/,confirmed and probable,Milwaukee County,29151,27414,1737,70179
2020/9/18/,confirmed and probable,Milwaukee County,29354,27596,1758,70179
2020/9/19/,confirmed and probable,Milwaukee County,29557,27782,1775,70179
2020/9/20/,confirmed and probable,Milwaukee County,29727,27944,1783,70179
2020/9/21/,confirmed and probable,Milwaukee County,30040,28229,1811,70179
2020/9/22/,confirmed and probable,Milwaukee County,30332,28494,1838,70179
2020/9/23/,confirmed and probable,Milwaukee County,30659,28803,1856,70179
2020/9/24/,confirmed and probable,Milwaukee County,30926,29049,1877,70179
2020/9/25/,confirmed and probable,Milwaukee County,31188,29290,1898,70179
2020/9/26/,confirmed and probable,Milwaukee County,31395,29481,1914,70179
