/(Epi Dt),Confirmed + Probable Title,County Parameter Cum Curve,运行 Confirm + Probable cases 的 总和,Confirmed cases (running sum),Probable cases (running sum),Window Max Cum Cases
2020/9/10/,confirmed and probable,Rock County,2258,2078,180,9413
2020/9/11/,confirmed and probable,Rock County,2287,2105,182,9413
2020/9/12/,confirmed and probable,Rock County,2318,2134,184,9413
2020/9/13/,confirmed and probable,Rock County,2341,2157,184,9413
2020/9/14/,confirmed and probable,Rock County,2379,2194,185,9413
2020/9/15/,confirmed and probable,Rock County,2414,2228,186,9413
2020/9/16/,confirmed and probable,Rock County,2456,2267,189,9413
2020/9/17/,confirmed and probable,Rock County,2505,2314,191,9413
2020/9/18/,confirmed and probable,Rock County,2541,2350,191,9413
2020/9/19/,confirmed and probable,Rock County,2575,2382,193,9413
2020/9/20/,confirmed and probable,Rock County,2594,2400,194,9413
2020/9/21/,confirmed and probable,Rock County,2655,2461,194,9413
2020/9/22/,confirmed and probable,Rock County,2692,2497,195,9413
2020/9/23/,confirmed and probable,Rock County,2731,2536,195,9413
2020/9/24/,confirmed and probable,Rock County,2772,2576,196,9413
2020/9/25/,confirmed and probable,Rock County,2814,2616,198,9413
2020/9/26/,confirmed and probable,Rock County,2839,2640,199,9413
2020/9/27/,confirmed and probable,Rock County,2862,2663,199,9413
2020/9/28/,confirmed and probable,Rock County,2938,2739,199,9413
2020/9/29/,confirmed and probable,Rock County,2982,2783,199,9413
2020/9/30/,confirmed and probable,Rock County,3037,2837,200,9413
2020/10/1/,confirmed and probable,Rock County,3088,2888,200,9413
2020/10/2/,confirmed and probable,Rock County,3168,2968,200,9413
2020/10/3/,confirmed and probable,Rock County,3217,3017,200,9413
2020/10/4/,confirmed and probable,Rock County,3256,3056,200,9413
2020/10/5/,confirmed and probable,Rock County,3347,3145,202,9413
2020/10/6/,confirmed and probable,Rock County,3452,3246,206,9413
2020/10/7/,confirmed and probable,Rock County,3569,3361,208,9413
2020/10/8/,confirmed and probable,Rock County,3692,3481,211,9413
2020/10/9/,confirmed and probable,Rock County,3821,3608,213,9413
2020/10/10/,confirmed and probable,Rock County,3897,3682,215,9413
