/(Epi Dt),Confirmed + Probable Title,County Parameter Cum Curve,运行 Confirm + Probable cases 的 总和,Confirmed cases (running sum),Probable cases (running sum),Window Max Cum Cases
2020/6/16/,confirmed and probable,Winnebago County,658,610,48,14045
2020/6/17/,confirmed and probable,Winnebago County,671,622,49,14045
2020/6/18/,confirmed and probable,Winnebago County,680,628,52,14045
2020/6/19/,confirmed and probable,Winnebago County,687,635,52,14045
2020/6/20/,confirmed and probable,Winnebago County,696,642,54,14045
2020/6/21/,confirmed and probable,Winnebago County,699,645,54,14045
2020/6/22/,confirmed and probable,Winnebago County,710,655,55,14045
2020/6/23/,confirmed and probable,Winnebago County,722,665,57,14045
2020/6/24/,confirmed and probable,Winnebago County,734,676,58,14045
2020/6/25/,confirmed and probable,Winnebago County,746,687,59,14045
2020/6/26/,confirmed and probable,Winnebago County,751,692,59,14045
2020/6/27/,confirmed and probable,Winnebago County,759,700,59,14045
2020/6/28/,confirmed and probable,Winnebago County,774,715,59,14045
2020/6/29/,confirmed and probable,Winnebago County,792,732,60,14045
2020/6/30/,confirmed and probable,Winnebago County,805,742,63,14045
2020/7/1/,confirmed and probable,Winnebago County,811,747,64,14045
2020/7/2/,confirmed and probable,Winnebago County,824,760,64,14045
2020/7/3/,confirmed and probable,Winnebago County,837,771,66,14045
2020/7/4/,confirmed and probable,Winnebago County,839,773,66,14045
2020/7/5/,confirmed and probable,Winnebago County,849,783,66,14045
2020/7/6/,confirmed and probable,Winnebago County,860,794,66,14045
2020/7/7/,confirmed and probable,Winnebago County,870,804,66,14045
2020/7/8/,confirmed and probable,Winnebago County,881,814,67,14045
2020/7/9/,confirmed and probable,Winnebago County,890,822,68,14045
2020/7/10/,confirmed and probable,Winnebago County,899,830,69,14045
2020/7/11/,confirmed and probable,Winnebago County,911,841,70,14045
2020/7/12/,confirmed and probable,Winnebago County,924,854,70,14045
2020/7/13/,confirmed and probable,Winnebago County,944,874,70,14045
2020/7/14/,confirmed and probable,Winnebago County,964,894,70,14045
2020/7/15/,confirmed and probable,Winnebago County,979,907,72,14045
2020/7/16/,confirmed and probable,Winnebago County,990,918,72,14045
2020/7/17/,confirmed and probable,Winnebago County,1006,933,73,14045
2020/7/18/,confirmed and probable,Winnebago County,1017,944,73,14045
2020/7/19/,confirmed and probable,Winnebago County,1030,957,73,14045
2020/7/20/,confirmed and probable,Winnebago County,1043,970,73,14045
2020/7/21/,confirmed and probable,Winnebago County,1065,991,74,14045
2020/7/22/,confirmed and probable,Winnebago County,1085,1010,75,14045
2020/7/23/,confirmed and probable,Winnebago County,1098,1022,76,14045
2020/7/24/,confirmed and probable,Winnebago County,1114,1036,78,14045
2020/7/25/,confirmed and probable,Winnebago County,1132,1053,79,14045
2020/7/26/,confirmed and probable,Winnebago County,1144,1065,79,14045
2020/7/27/,confirmed and probable,Winnebago County,1169,1090,79,14045
2020/7/28/,confirmed and probable,Winnebago County,1180,1101,79,14045
