/(Epi Dt),Confirmed + Probable Title,County Parameter Cum Curve,运行 Confirm + Probable cases 的 总和,Confirmed cases (running sum),Probable cases (running sum),Window Max Cum Cases
2020/8/8/,confirmed and probable,Dane County,4994,4673,321,27120
2020/8/9/,confirmed and probable,Dane County,5021,4700,321,27120
2020/8/10/,confirmed and probable,Dane County,5068,4746,322,27120
2020/8/11/,confirmed and probable,Dane County,5126,4804,322,27120
2020/8/12/,confirmed and probable,Dane County,5175,4853,322,27120
2020/8/13/,confirmed and probable,Dane County,5208,4886,322,27120
2020/8/14/,confirmed and probable,Dane County,5248,4924,324,27120
2020/8/15/,confirmed and probable,Dane County,5279,4954,325,27120
2020/8/16/,confirmed and probable,Dane County,5302,4976,326,27120
2020/8/17/,confirmed and probable,Dane County,5349,5023,326,27120
2020/8/18/,confirmed and probable,Dane County,5401,5075,326,27120
2020/8/19/,confirmed and probable,Dane County,5448,5121,327,27120
2020/8/20/,confirmed and probable,Dane County,5480,5153,327,27120
2020/8/21/,confirmed and probable,Dane County,5527,5200,327,27120
2020/8/22/,confirmed and probable,Dane County,5560,5233,327,27120
2020/8/23/,confirmed and probable,Dane County,5598,5270,328,27120
2020/8/24/,confirmed and probable,Dane County,5662,5334,328,27120
2020/8/25/,confirmed and probable,Dane County,5764,5432,332,27120
2020/8/26/,confirmed and probable,Dane County,5837,5505,332,27120
2020/8/27/,confirmed and probable,Dane County,5923,5591,332,27120
2020/8/28/,confirmed and probable,Dane County,5990,5656,334,27120
2020/8/29/,confirmed and probable,Dane County,6056,5722,334,27120
2020/8/30/,confirmed and probable,Dane County,6140,5805,335,27120
2020/8/31/,confirmed and probable,Dane County,6319,5981,338,27120
2020/9/1/,confirmed and probable,Dane County,6491,6151,340,27120
2020/9/2/,confirmed and probable,Dane County,6699,6356,343,27120
2020/9/3/,confirmed and probable,Dane County,6911,6558,353,27120
2020/9/4/,confirmed and probable,Dane County,7111,6756,355,27120
2020/9/5/,confirmed and probable,Dane County,7252,6893,359,27120
2020/9/6/,confirmed and probable,Dane County,7388,7028,360,27120
2020/9/7/,confirmed and probable,Dane County,7545,7178,367,27120
2020/9/8/,confirmed and probable,Dane County,7878,7503,375,27120
2020/9/9/,confirmed and probable,Dane County,8145,7765,380,27120
2020/9/10/,confirmed and probable,Dane County,8333,7944,389,27120
2020/9/11/,confirmed and probable,Dane County,8501,8107,394,27120
2020/9/12/,confirmed and probable,Dane County,8609,8215,394,27120
2020/9/13/,confirmed and probable,Dane County,8691,8294,397,27120
2020/9/14/,confirmed and probable,Dane County,8898,8496,402,27120
2020/9/15/,confirmed and probable,Dane County,9074,8671,403,27120
2020/9/16/,confirmed and probable,Dane County,9238,8834,404,27120
2020/9/17/,confirmed and probable,Dane County,9393,8985,408,27120
2020/9/18/,confirmed and probable,Dane County,9516,9105,411,27120
2020/9/19/,confirmed and probable,Dane County,9594,9182,412,27120
2020/9/20/,confirmed and probable,Dane County,9675,9263,412,27120
2020/9/21/,confirmed and probable,Dane County,9839,9424,415,27120
2020/9/22/,confirmed and probable,Dane County,9982,9560,422,27120
2020/9/23/,confirmed and probable,Dane County,10107,9683,424,27120
2020/9/24/,confirmed and probable,Dane County,10232,9808,424,27120
2020/9/25/,confirmed and probable,Dane County,10329,9904,425,27120
2020/9/26/,confirmed and probable,Dane County,10425,9999,426,27120
2020/9/27/,confirmed and probable,Dane County,10507,10081,426,27120
2020/9/28/,confirmed and probable,Dane County,10683,10256,427,27120
2020/9/29/,confirmed and probable,Dane County,10808,10380,428,27120
2020/9/30/,confirmed and probable,Dane County,10949,10520,429,27120
2020/10/1/,confirmed and probable,Dane County,11093,10663,430,27120
2020/10/2/,confirmed and probable,Dane County,11218,10787,431,27120
2020/10/3/,confirmed and probable,Dane County,11329,10898,431,27120
2020/10/4/,confirmed and probable,Dane County,11404,10973,431,27120
2020/10/5/,confirmed and probable,Dane County,11543,11109,434,27120
2020/10/6/,confirmed and probable,Dane County,11758,11319,439,27120
2020/10/7/,confirmed and probable,Dane County,11965,11519,446,27120
2020/10/8/,confirmed and probable,Dane County,12143,11692,451,27120
2020/10/9/,confirmed and probable,Dane County,12276,11822,454,27120
2020/10/10/,confirmed and probable,Dane County,12402,11944,458,27120
2020/10/11/,confirmed and probable,Dane County,12545,12084,461,27120
2020/10/12/,confirmed and probable,Dane County,12766,12294,472,27120
2020/10/13/,confirmed and probable,Dane County,12999,12521,478,27120
2020/10/14/,confirmed and probable,Dane County,13182,12697,485,27120
