/(Epi Dt),Confirmed + Probable Title,County Parameter Cum Curve,运行 Confirm + Probable cases 的 总和,Confirmed cases (running sum),Probable cases (running sum),Window Max Cum Cases
2020/7/14/,confirmed and probable,Wisconsin,49381,45777,3604,398104
2020/7/15/,confirmed and probable,Wisconsin,50429,46784,3645,398104
2020/7/16/,confirmed and probable,Wisconsin,51394,47715,3679,398104
2020/7/17/,confirmed and probable,Wisconsin,52283,48544,3739,398104
2020/7/18/,confirmed and probable,Wisconsin,52954,49196,3758,398104
2020/7/19/,confirmed and probable,Wisconsin,53552,49776,3776,398104
2020/7/20/,confirmed and probable,Wisconsin,54667,50835,3832,398104
2020/7/21/,confirmed and probable,Wisconsin,55668,51796,3872,398104
2020/7/22/,confirmed and probable,Wisconsin,56691,52772,3919,398104
2020/7/23/,confirmed and probable,Wisconsin,57502,53561,3941,398104
2020/7/24/,confirmed and probable,Wisconsin,58313,54327,3986,398104
2020/7/25/,confirmed and probable,Wisconsin,58934,54925,4009,398104
2020/7/26/,confirmed and probable,Wisconsin,59496,55469,4027,398104
2020/7/27/,confirmed and probable,Wisconsin,60593,56533,4060,398104
2020/7/28/,confirmed and probable,Wisconsin,61554,57454,4100,398104
2020/7/29/,confirmed and probable,Wisconsin,62430,58300,4130,398104
2020/7/30/,confirmed and probable,Wisconsin,63231,59070,4161,398104
2020/7/31/,confirmed and probable,Wisconsin,63997,59805,4192,398104
2020/8/1/,confirmed and probable,Wisconsin,64687,60474,4213,398104
2020/8/2/,confirmed and probable,Wisconsin,65217,60982,4235,398104
2020/8/3/,confirmed and probable,Wisconsin,66217,61952,4265,398104
2020/8/4/,confirmed and probable,Wisconsin,67152,62845,4307,398104
2020/8/5/,confirmed and probable,Wisconsin,68093,63744,4349,398104
2020/8/6/,confirmed and probable,Wisconsin,68872,64489,4383,398104
2020/8/7/,confirmed and probable,Wisconsin,69637,65227,4410,398104
2020/8/8/,confirmed and probable,Wisconsin,70196,65769,4427,398104
2020/8/9/,confirmed and probable,Wisconsin,70766,66322,4444,398104
2020/8/10/,confirmed and probable,Wisconsin,71618,67136,4482,398104
2020/8/11/,confirmed and probable,Wisconsin,72494,67988,4506,398104
2020/8/12/,confirmed and probable,Wisconsin,73346,68807,4539,398104
2020/8/13/,confirmed and probable,Wisconsin,74019,69446,4573,398104
2020/8/14/,confirmed and probable,Wisconsin,74660,70065,4595,398104
2020/8/15/,confirmed and probable,Wisconsin,75202,70586,4616,398104
2020/8/16/,confirmed and probable,Wisconsin,75705,71073,4632,398104
2020/8/17/,confirmed and probable,Wisconsin,76483,71815,4668,398104
2020/8/18/,confirmed and probable,Wisconsin,77350,72652,4698,398104
2020/8/19/,confirmed and probable,Wisconsin,78109,73374,4735,398104
2020/8/20/,confirmed and probable,Wisconsin,78750,73982,4768,398104
2020/8/21/,confirmed and probable,Wisconsin,79426,74622,4804,398104
2020/8/22/,confirmed and probable,Wisconsin,79933,75110,4823,398104
2020/8/23/,confirmed and probable,Wisconsin,80460,75620,4840,398104
2020/8/24/,confirmed and probable,Wisconsin,81320,76455,4865,398104
2020/8/25/,confirmed and probable,Wisconsin,82266,77360,4906,398104
2020/8/26/,confirmed and probable,Wisconsin,83151,78202,4949,398104
2020/8/27/,confirmed and probable,Wisconsin,84028,79047,4981,398104
2020/8/28/,confirmed and probable,Wisconsin,84836,79809,5027,398104
2020/8/29/,confirmed and probable,Wisconsin,85435,80386,5049,398104
2020/8/30/,confirmed and probable,Wisconsin,86045,80982,5063,398104
2020/8/31/,confirmed and probable,Wisconsin,87141,82047,5094,398104
2020/9/1/,confirmed and probable,Wisconsin,88335,83204,5131,398104
2020/9/2/,confirmed and probable,Wisconsin,89436,84253,5183,398104
2020/9/3/,confirmed and probable,Wisconsin,90527,85290,5237,398104
2020/9/4/,confirmed and probable,Wisconsin,91642,86347,5295,398104
2020/9/5/,confirmed and probable,Wisconsin,92507,87192,5315,398104
2020/9/6/,confirmed and probable,Wisconsin,93381,88036,5345,398104
2020/9/7/,confirmed and probable,Wisconsin,94558,89169,5389,398104
2020/9/8/,confirmed and probable,Wisconsin,96510,91046,5464,398104
2020/9/9/,confirmed and probable,Wisconsin,98318,92763,5555,398104
2020/9/10/,confirmed and probable,Wisconsin,100050,94399,5651,398104
2020/9/11/,confirmed and probable,Wisconsin,101744,95978,5766,398104
2020/9/12/,confirmed and probable,Wisconsin,103015,97193,5822,398104
2020/9/13/,confirmed and probable,Wisconsin,104262,98390,5872,398104
2020/9/14/,confirmed and probable,Wisconsin,106584,100596,5988,398104
2020/9/15/,confirmed and probable,Wisconsin,108807,102702,6105,398104
2020/9/16/,confirmed and probable,Wisconsin,111197,104965,6232,398104
2020/9/17/,confirmed and probable,Wisconsin,113311,106967,6344,398104
2020/9/18/,confirmed and probable,Wisconsin,115342,108864,6478,398104
2020/9/19/,confirmed and probable,Wisconsin,116943,110398,6545,398104
2020/9/20/,confirmed and probable,Wisconsin,118427,111827,6600,398104
2020/9/21/,confirmed and probable,Wisconsin,121275,114528,6747,398104
2020/9/22/,confirmed and probable,Wisconsin,123964,117114,6850,398104
2020/9/23/,confirmed and probable,Wisconsin,127209,120261,6948,398104
2020/9/24/,confirmed and probable,Wisconsin,129782,122740,7042,398104
2020/9/25/,confirmed and probable,Wisconsin,132253,125121,7132,398104
2020/9/26/,confirmed and probable,Wisconsin,134129,126932,7197,398104
2020/9/27/,confirmed and probable,Wisconsin,135786,128528,7258,398104
2020/9/28/,confirmed and probable,Wisconsin,139216,131825,7391,398104
2020/9/29/,confirmed and probable,Wisconsin,142061,134577,7484,398104
2020/9/30/,confirmed and probable,Wisconsin,145072,137486,7586,398104
2020/10/1/,confirmed and probable,Wisconsin,147941,140253,7688,398104
2020/10/2/,confirmed and probable,Wisconsin,150658,142843,7815,398104
2020/10/3/,confirmed and probable,Wisconsin,152752,144864,7888,398104
2020/10/4/,confirmed and probable,Wisconsin,154678,146711,7967,398104
2020/10/5/,confirmed and probable,Wisconsin,158355,150216,8139,398104
2020/10/6/,confirmed and probable,Wisconsin,162118,153820,8298,398104
2020/10/7/,confirmed and probable,Wisconsin,165854,157382,8472,398104
2020/10/8/,confirmed and probable,Wisconsin,169389,160742,8647,398104
2020/10/9/,confirmed and probable,Wisconsin,172868,164020,8848,398104
2020/10/10/,confirmed and probable,Wisconsin,175385,166433,8952,398104
2020/10/11/,confirmed and probable,Wisconsin,177764,168664,9100,398104
2020/10/12/,confirmed and probable,Wisconsin,182096,172753,9343,398104
2020/10/13/,confirmed and probable,Wisconsin,186003,176454,9549,398104
2020/10/14/,confirmed and probable,Wisconsin,189927,180168,9759,398104
2020/10/15/,confirmed and probable,Wisconsin,193786,183772,10014,398104
2020/10/16/,confirmed and probable,Wisconsin,197473,187276,10197,398104
2020/10/17/,confirmed and probable,Wisconsin,200041,189722,10319,398104
2020/10/18/,confirmed and probable,Wisconsin,202580,192122,10458,398104
2020/10/19/,confirmed and probable,Wisconsin,207592,196901,10691,398104
2020/10/20/,confirmed and probable,Wisconsin,212392,201500,10892,398104
2020/10/21/,confirmed and probable,Wisconsin,217341,206218,11123,398104
2020/10/22/,confirmed and probable,Wisconsin,222007,210614,11393,398104
2020/10/23/,confirmed and probable,Wisconsin,226659,214993,11666,398104
2020/10/24/,confirmed and probable,Wisconsin,230040,218201,11839,398104
2020/10/25/,confirmed and probable,Wisconsin,233227,221198,12029,398104
2020/10/26/,confirmed and probable,Wisconsin,239576,227246,12330,398104
2020/10/27/,confirmed and probable,Wisconsin,245789,233167,12622,398104
2020/10/28/,confirmed and probable,Wisconsin,251978,239109,12869,398104
2020/10/29/,confirmed and probable,Wisconsin,257783,244610,13173,398104
2020/10/30/,confirmed and probable,Wisconsin,263636,250187,13449,398104
2020/10/31/,confirmed and probable,Wisconsin,267926,254306,13620,398104
2020/11/1/,confirmed and probable,Wisconsin,272469,258606,13863,398104
2020/11/2/,confirmed and probable,Wisconsin,281070,266791,14279,398104
2020/11/3/,confirmed and probable,Wisconsin,289246,274608,14638,398104
2020/11/4/,confirmed and probable,Wisconsin,297290,282288,15002,398104
2020/11/5/,confirmed and probable,Wisconsin,304900,289496,15404,398104
2020/11/6/,confirmed and probable,Wisconsin,312602,296814,15788,398104
2020/11/7/,confirmed and probable,Wisconsin,317928,301877,16051,398104
2020/11/8/,confirmed and probable,Wisconsin,322515,306211,16304,398104
2020/11/9/,confirmed and probable,Wisconsin,331942,315022,16920,398104
2020/11/10/,confirmed and probable,Wisconsin,340055,322662,17393,398104
2020/11/11/,confirmed and probable,Wisconsin,346687,328585,18102,398104
2020/11/12/,confirmed and probable,Wisconsin,353764,335014,18750,398104
2020/11/13/,confirmed and probable,Wisconsin,359856,340507,19349,398104
2020/11/14/,confirmed and probable,Wisconsin,363640,344009,19631,398104
2020/11/15/,confirmed and probable,Wisconsin,366911,346997,19914,398104
2020/11/16/,confirmed and probable,Wisconsin,373525,352946,20579,398104
2020/11/17/,confirmed and probable,Wisconsin,379010,357878,21132,398104
2020/11/18/,confirmed and probable,Wisconsin,383838,362174,21664,398104
2020/11/19/,confirmed and probable,Wisconsin,387886,365772,22114,398104
2020/11/20/,confirmed and probable,Wisconsin,391331,368786,22545,398104
2020/11/21/,confirmed and probable,Wisconsin,393106,370367,22739,398104
2020/11/22/,confirmed and probable,Wisconsin,394275,371414,22861,398104
2020/11/23/,confirmed and probable,Wisconsin,396738,373469,23269,398104
2020/11/24/,confirmed and probable,Wisconsin,397892,374406,23486,398104
2020/11/25/,confirmed and probable,Wisconsin,398104,374537,23567,398104
